refe,h3_cell,loading_status,n_points,centroid_lat,centroid_lng,avg_heading,avg_speed,avg_vertical_speed,avg_height,avg_longitudinal_a,avg_lateral_a,avg_ratius_ot,avg_vehicle_w,avg_tkph_f,avg_tkph_r,avg_slope_percent,transparency
341139VBOX,8c661c94d555bff,Empty,7,7.917016469044542,-75.57224814419362,180.71,32.57,0.09,81.74,-0.01,-0.0,,68.3,725.86,658.0,-0.0057,0.0951
341139VBOX,8c661c94d555bff,Loaded,8,7.917016469044542,-75.57224814419362,3.64,27.93,0.06,80.38,0.02,0.04,,974.3,1030.88,970.25,0.0025,0.0932
341139VBOX,8c661c94d55a1ff,Empty,1,7.915695048625731,-75.57254763553536,20.1,37.54,1.76,76.67,-0.03,-0.01,,68.3,549.0,450.0,0.05,0.0156
341139VBOX,8c661c94d55a1ff,Loaded,6,7.915695048625731,-75.57254763553536,19.5,30.15,1.56,75.08,-0.03,0.0,,974.3,1088.33,1022.33,0.05,0.0755
341139VBOX,8c661c94d55a7ff,Empty,2,7.91554621847777,-75.57261963171956,20.0,38.79,1.56,75.86,-0.02,-0.03,,68.3,549.0,450.0,0.04,0.0323
341139VBOX,8c661c94d55a7ff,Loaded,7,7.91554621847777,-75.57261963171956,19.7,31.41,1.3,74.53,-0.01,-0.01,,974.3,974.0,913.29,0.05,0.0917
341139VBOX,8c661c94d55a9ff,Loaded,3,7.915843878455616,-75.57247563944705,18.47,27.85,1.66,76.22,-0.03,0.01,,974.3,1088.33,1022.33,0.05,0.0349
341139VBOX,8c661c94d55adff,Empty,2,7.915834859283205,-75.5726498755696,20.9,35.92,2.12,77.63,-0.03,0.0,,68.3,549.0,450.0,0.05,0.0299
341139VBOX,8c661c94d55adff,Loaded,3,7.915834859283205,-75.5726498755696,18.8,28.66,1.68,75.77,-0.03,0.01,,974.3,1088.33,1022.33,0.05,0.0359
341139VBOX,8c661c94d55e1ff,Empty,6,7.916132518217124,-75.57250588337911,195.55,39.28,-0.73,80.04,0.02,0.01,,68.3,608.67,539.5,-0.0167,0.0982
341139VBOX,8c661c94d55e1ff,Loaded,9,7.916132518217124,-75.57250588337911,18.72,25.43,1.32,77.6,-0.02,0.0,,974.3,1088.33,1022.33,0.0433,0.0956
341139VBOX,8c661c94d55e7ff,Empty,3,7.915983688909204,-75.5725778794264,20.5,37.25,0.46,78.41,-0.01,0.01,,68.3,462.0,386.33,0.0133,0.0466
341139VBOX,8c661c94d55e7ff,Loaded,5,7.915983688909204,-75.5725778794264,19.0,26.5,1.48,77.89,-0.02,-0.01,,974.3,996.4,939.0,0.05,0.0553
341139VBOX,8c661c94d55e9ff,Empty,8,7.916281347206947,-75.5724338874277,196.75,38.1,-0.68,80.31,0.03,-0.02,,68.3,718.62,640.75,-0.0112,0.127
341139VBOX,8c661c94d55e9ff,Loaded,8,7.916281347206947,-75.5724338874277,16.54,23.32,1.23,79.24,-0.02,0.01,,974.3,1030.88,970.25,0.0175,0.078
341139VBOX,8c661c94d5701ff,Empty,3,7.917882373992652,-75.57233887601956,176.6,41.19,0.43,80.57,0.02,-0.01,,68.3,755.33,692.67,0.0033,0.0515
341139VBOX,8c661c94d5701ff,Loaded,1,7.917882373992652,-75.57233887601956,0.5,41.24,-0.89,72.58,0.04,-0.01,,974.3,1548.0,1439.0,-0.01,0.0172
341139VBOX,8c661c94d5703ff,Empty,5,7.917742566058417,-75.57223663668418,177.3,40.35,0.27,80.79,0.02,-0.01,,68.3,620.6,557.4,0.0,0.084
341139VBOX,8c661c94d5703ff,Loaded,6,7.917742566058417,-75.57223663668418,1.62,38.25,-0.69,78.59,0.03,0.01,,974.3,1088.33,1022.33,-0.015,0.0956
341139VBOX,8c661c94d5709ff,Empty,5,7.9180311996221375,-75.5722668806158,148.41,41.53,0.19,80.3,0.03,-0.0,,68.3,848.8,779.4,0.002,0.0865
341139VBOX,8c661c94d5709ff,Loaded,3,7.9180311996221375,-75.5722668806158,310.33,40.63,-0.79,78.03,0.02,0.02,,974.3,1088.33,1022.33,-0.0133,0.0508
341139VBOX,8c661c94d570bff,Loaded,2,7.917891391891803,-75.57216464133532,1.2,38.98,-0.78,81.06,0.02,0.01,,974.3,858.5,814.0,-0.02,0.0325
341139VBOX,8c661c94d5731ff,Empty,1,7.917444913437326,-75.57238062766962,179.5,42.32,0.66,85.52,-0.02,0.0,,68.3,549.0,450.0,0.02,0.0176
341139VBOX,8c661c94d5733ff,Empty,9,7.917305104924219,-75.57227838818699,193.05,37.13,0.11,82.51,-0.02,-0.0,,68.3,686.56,611.78,0.0033,0.1392
341139VBOX,8c661c94d5733ff,Loaded,8,7.917305104924219,-75.57227838818699,332.52,32.2,-0.36,80.09,0.03,0.01,,974.3,1030.88,970.25,-0.0138,0.1074
341139VBOX,8c661c94d5739ff,Empty,6,7.917593739906925,-75.57230863212895,194.92,40.08,0.22,81.93,0.0,0.01,,68.3,798.83,724.5,0.0017,0.1002
341139VBOX,8c661c94d5739ff,Loaded,6,7.917593739906925,-75.57230863212895,1.8,36.29,-0.54,78.92,0.03,-0.01,,974.3,1088.33,1022.33,-0.0133,0.0907
341139VBOX,8c661c94d573bff,Empty,3,7.917453931597709,-75.57220639270119,180.0,39.03,0.26,81.33,0.01,-0.01,,68.3,755.33,692.67,-0.0033,0.0488
341139VBOX,8c661c94d573bff,Loaded,3,7.917453931597709,-75.57220639270119,108.08,34.56,-0.49,79.08,0.04,-0.03,,974.3,1088.33,1022.33,-0.0133,0.0432
341139VBOX,8c661c94d5741ff,Empty,6,7.918319832288862,-75.57229712449602,176.52,40.67,0.18,77.04,0.02,0.02,,68.3,1131.83,1054.17,0.0083,0.1016
341139VBOX,8c661c94d5741ff,Loaded,2,7.918319832288862,-75.57229712449602,354.95,40.82,-0.78,80.06,0.0,0.04,,974.3,858.5,814.0,-0.015,0.034
341139VBOX,8c661c94d5743ff,Empty,1,7.918180024933524,-75.57219488530794,358.4,42.42,-1.01,79.92,0.03,0.01,,68.3,549.0,450.0,-0.02,0.0177
341139VBOX,8c661c94d5743ff,Loaded,5,7.918180024933524,-75.57219488530794,345.24,41.06,-1.02,78.73,0.01,0.03,,974.3,996.4,939.0,-0.014,0.0855
341139VBOX,8c661c94d5747ff,Empty,4,7.918171007181385,-75.57236911985875,176.62,41.24,0.36,77.62,0.04,-0.01,,68.3,888.25,831.5,0.0125,0.0687
341139VBOX,8c661c94d5749ff,Empty,2,7.918468657078239,-75.57222512922918,355.0,43.62,-0.52,79.5,-0.0,0.05,,68.3,549.0,450.0,0.0,0.0363
341139VBOX,8c661c94d5749ff,Loaded,4,7.918468657078239,-75.57222512922918,354.37,40.52,-0.55,79.88,-0.01,0.02,,974.3,858.5,814.0,-0.015,0.0675
341139VBOX,8c661c94d574dff,Empty,5,7.918459639473103,-75.5723993636466,177.88,39.13,0.6,78.55,0.01,0.02,,68.3,820.4,755.2,0.008,0.0815
341139VBOX,8c661c94d720dff,Empty,3,7.913128808265645,-75.5688627175738,230.42,29.49,-0.12,66.43,-0.1,0.0,,68.3,882.0,779.67,-0.0067,0.0369
341139VBOX,8c661c94d720dff,Loaded,5,7.913128808265645,-75.5688627175738,236.74,30.77,-0.75,67.07,-0.06,0.03,,974.3,1248.4,1175.0,-0.004,0.0642
341139VBOX,8c661c94d7225ff,Empty,2,7.912813103456383,-75.5693551742309,245.45,23.32,-0.33,69.3,0.06,-0.06,,68.3,549.0,450.0,0.0,0.0195
341139VBOX,8c661c94d7225ff,Loaded,7,7.912813103456383,-75.5693551742309,248.56,21.06,-0.44,66.17,0.05,-0.03,,974.3,1154.0,1081.86,-0.01,0.0617
341139VBOX,8c661c94d7229ff,Empty,10,7.912970956174923,-75.5691089456195,215.52,8.89,-0.01,68.52,0.01,-0.01,,68.3,648.9,548.9,0.0,0.0377
341139VBOX,8c661c94d7229ff,Loaded,22,7.912970956174923,-75.5691089456195,234.94,8.53,-0.15,66.52,-0.02,-0.0,,974.3,1166.5,1094.91,-0.0041,0.0796
341139VBOX,8c661c94d722dff,Empty,10,7.912961936882376,-75.56928318019995,65.88,30.94,0.06,68.29,0.02,0.03,,68.3,872.6,793.4,0.003,0.1291
341139VBOX,8c661c94d722dff,Loaded,10,7.912961936882376,-75.56928318019995,239.11,16.53,-0.38,66.95,0.05,-0.02,,974.3,1008.3,946.0,-0.003,0.0693
341139VBOX,8c661c94d7241ff,Empty,42,7.913426473070429,-75.56871873059458,140.38,9.44,0.58,69.89,-0.0,0.03,,68.3,693.4,647.5,0.0612,0.1677
341139VBOX,8c661c94d7241ff,Loaded,1,7.913426473070429,-75.56871873059458,315.0,20.78,-1.72,63.82,-0.01,-0.19,,974.3,910.0,869.0,-0.09,0.0087
341139VBOX,8c661c94d7243ff,Empty,7,7.9132866597285005,-75.56861649009379,91.27,24.74,0.32,67.53,0.04,0.07,,68.3,915.43,839.29,0.0471,0.0724
341139VBOX,8c661c94d7243ff,Loaded,4,7.9132866597285005,-75.56861649009379,242.4,35.31,-1.29,68.61,-0.02,-0.01,,974.3,1173.5,1109.0,-0.0275,0.0589
341139VBOX,8c661c94d7247ff,Empty,7,7.913277640827075,-75.56879072403623,59.07,37.26,0.17,67.54,-0.01,-0.01,,68.3,885.57,809.29,0.0071,0.1087
